"批次/序列号码","内部参考号","产品/内部参考号","产品/名称","产品/产品类别/上级名称","产品/产品类别/中文名称","产品/CN 品牌","显示名称","在手数量","有效期","产品/批次可用","产品/预测数量","产品/打板","产品/计量单位","产品/基准成本","活动","产品/有效期","产品/销售价格","公司"
"L270500001","","A54394","QINGQUAN Peach Drink | 清泉 蜜桃即饮茶 12btls*330ml","饮料","即饮茶","清泉","05-04-2027/0.0","43.0","2027-05-04","86.0","86.0","13*7=91","Case","24.275","","360","30.0","Crestline New Jersey Inc"
"L261100002","","A54394","QINGQUAN Peach Drink | 清泉 蜜桃即饮茶 12btls*330ml","饮料","即饮茶","清泉","11-07-2026/0.0","43.0","2026-11-07","86.0","86.0","13*7=91","Case","24.275","已到警报日期","360","30.0","Crestline New Jersey Inc"
"L260500003","","A54394","QINGQUAN Peach Drink | 清泉 蜜桃即饮茶 12btls*330ml","饮料","即饮茶","清泉","05-28-2026/0.0","0.0","2026-05-28","86.0","86.0","13*7=91","Case","24.275","","360","30.0","Crestline New Jersey Inc"
"2026-03-11","","A54394","QINGQUAN Peach Drink | 清泉 蜜桃即饮茶 12btls*330ml","饮料","即饮茶","清泉","03-11-2026/0.0","0.0","2026-03-11","86.0","86.0","13*7=91","Case","24.275","","360","30.0","Crestline New Jersey Inc"
"L260500005","","A11157","QINGQUAN Lychee Drink | 清泉 荔枝茉莉即饮茶 24btls*1500ml","饮料","即饮茶","清泉","05-14-2026/0.0","4.0","2026-05-14","8.0","8.0","12*7=84","Case","13.873","已到警报日期","360","21.0","Crestline New Jersey Inc"
"L270800006","","A11157","QINGQUAN Lychee Drink | 清泉 荔枝茉莉即饮茶 24btls*1500ml","饮料","即饮茶","清泉","08-12-2027/0.0","4.0","2027-08-12","8.0","8.0","12*7=84","Case","13.873","","360","21.0","Crestline New Jersey Inc"
"L261000007","","A63261","QINGQUAN Grape Drink | 清泉 葡萄即饮茶 12btls*500ml","饮料","即饮茶","清泉","10-18-2026/0.0","63.0","2026-10-18","63.0","133.0","15*11=165","Case","10.486","已到警报日期","360","12.0","Crestline New Jersey Inc"
"L251100008","","A63261","QINGQUAN Grape Drink | 清泉 葡萄即饮茶 12btls*500ml","饮料","即饮茶","清泉","11-22-2025/0.0","0.0","2025-11-22","63.0","133.0","15*11=165","Case","10.486","","360","12.0","Crestline New Jersey Inc"
"L270100009","","A49363","QINGQUAN Lemon Drink | 清泉 柠檬即饮茶 20btls*480ml","饮料","即饮茶","清泉","01-25-2027/0.0","0.0","2027-01-25","0.0","0.0","","Case","27.816","","360","31.5","Crestline New Jersey Inc"
"L270200010","","A49363","QINGQUAN Lemon Drink | 清泉 柠檬即饮茶 20btls*480ml","饮料","即饮茶","清泉","02-27-2027/0.0","0.0","2027-02-27","0.0","0.0","","Case","27.816","","360","31.5","Crestline New Jersey Inc"
"L270700011","","A49363","QINGQUAN Lemon Drink | 清泉 柠檬即饮茶 20btls*480ml","饮料","即饮茶","清泉","07-09-2027/0.0","0.0","2027-07-09","0.0","0.0","","Case","27.816","","360","31.5","Crestline New Jersey Inc"
"2026-02-09","","A49363","QINGQUAN Lemon Drink | 清泉 柠檬即饮茶 20btls*480ml","饮料","即饮茶","清泉","02-09-2026/0.0","0.0","2026-02-09","0.0","0.0","","Case","27.816","","360","31.5","Crestline New Jersey Inc"
"L261000013","","A59173","QINGQUAN Matcha Drink | 清泉 抹茶即饮茶 20btls*280ml","饮料","即饮茶","清泉","10-23-2026/0.0","246.0","2026-10-23","736.0","736.0","","Case","16.793","已到警报日期","360","23.0","Crestline New Jersey Inc"
"L270500014","","A59173","QINGQUAN Matcha Drink | 清泉 抹茶即饮茶 20btls*280ml","饮料","即饮茶","清泉","05-06-2027/0.0","245.0","2027-05-06","736.0","736.0","","Case","16.793","","360","23.0","Crestline New Jersey Inc"
"L270500015","","A59173","QINGQUAN Matcha Drink | 清泉 抹茶即饮茶 20btls*280ml","饮料","即饮茶","清泉","05-21-2027/0.0","245.0","2027-05-21","736.0","736.0","","Case","16.793","","360","999.0","Crestline New Jersey Inc"
"2026-08-12","","A59173","QINGQUAN Matcha Drink | 清泉 抹茶即饮茶 20btls*280ml","饮料","即饮茶","清泉","08-12-2026/0.0","0.0","2026-08-12","736.0","736.0","","Case","16.793","","360","23.0","Crestline New Jersey Inc"
"L270300017","","A60317","QINGQUAN Milk Drink | 清泉 牛奶即饮茶 20btls*280ml","饮料","即饮茶","清泉","03-30-2027/0.0","0.0","2027-03-30","0.0","0.0","10*13=130","Case","21.707","","360","29.0","Crestline New Jersey Inc"
"L270700018","","A60317","QINGQUAN Milk Drink | 清泉 牛奶即饮茶 20btls*280ml","饮料","即饮茶","清泉","07-22-2027/0.0","0.0","2027-07-22","0.0","0.0","10*13=130","Case","21.707","","360","29.0","Crestline New Jersey Inc"
"2026-05-11","","A60317","QINGQUAN Milk Drink | 清泉 牛奶即饮茶 20btls*280ml","饮料","即饮茶","清泉","05-11-2026/0.0","0.0","2026-05-11","0.0","0.0","10*13=130","Case","21.707","","360","29.0","Crestline New Jersey Inc"
"L260800020","","A60317","QINGQUAN Milk Drink | 清泉 牛奶即饮茶 20btls*280ml","饮料","即饮茶","清泉","08-18-2026/0.0","0.0","2026-08-18","0.0","0.0","10*13=130","Case","21.707","","360","29.0","Crestline New Jersey Inc"
"L270400021","","A77352","QINGQUAN Coconut Drink | 清泉 椰子即饮茶 24btls*280ml","饮料","即饮茶","清泉","04-21-2027/0.0","45.0","2027-04-21","45.0","45.0","11*5=55","Case","17.479","","360","20.5","Crestline New Jersey Inc"
"L261200022","","A66366","QINGQUAN Peach Drink | 清泉 蜜桃植物饮料 20btls*500ml","饮料","植物饮料","清泉","12-16-2026/0.0","51.0","2026-12-16","101.0","101.0","17*11=187","Case","21.05","","360","23.5","Crestline New Jersey Inc"
"L270700023","","A66366","QINGQUAN Peach Drink | 清泉 蜜桃植物饮料 20btls*500ml","饮料","植物饮料","清泉","07-19-2027/0.0","50.0","2027-07-19","101.0","101.0","17*11=187","Case","21.05","","360","23.5","Crestline New Jersey Inc"
"L251200024","","A66366","QINGQUAN Peach Drink | 清泉 蜜桃植物饮料 20btls*500ml","饮料","植物饮料","清泉","12-25-2025/0.0","0.0","2025-12-25","101.0","101.0","17*11=187","Case","21.05","","360","23.5","Crestline New Jersey Inc"
"L270800025","","A67153","QINGQUAN Lychee Drink | 清泉 荔枝茉莉植物饮料 15btls*330ml","饮料","植物饮料","清泉","08-02-2027/0.0","91.0","2027-08-02","182.0","182.0","5*5=25","Case","25.395","","360","28.5","Crestline New Jersey Inc"
"L261100026","","A67153","QINGQUAN Lychee Drink | 清泉 荔枝茉莉植物饮料 15btls*330ml","饮料","植物饮料","清泉","11-24-2026/0.0","91.0","2026-11-24","182.0","182.0","5*5=25","Case","25.395","","360","28.5","Crestline New Jersey Inc"
"L270100027","","A16334","QINGQUAN Grape Drink | 清泉 葡萄植物饮料 24btls*500ml","饮料","植物饮料","清泉","01-22-2027/0.0","18.0","2027-01-22","54.0","54.0","13*9=117","Case","13.084","","360","15.0","Crestline New Jersey Inc"
"L270300028","","A16334","QINGQUAN Grape Drink | 清泉 葡萄植物饮料 24btls*500ml","饮料","植物饮料","清泉","03-05-2027/0.0","18.0","2027-03-05","54.0","54.0","13*9=117","Case","13.084","","360","15.0","Crestline New Jersey Inc"
"L270500029","","A16334","QINGQUAN Grape Drink | 清泉 葡萄植物饮料 24btls*500ml","饮料","植物饮料","清泉","05-20-2027/0.0","18.0","2027-05-20","54.0","54.0","13*9=117","Case","13.084","","360","15.0","Crestline New Jersey Inc"
"L250900030","","A16334","QINGQUAN Grape Drink | 清泉 葡萄植物饮料 24btls*500ml","饮料","植物饮料","清泉","09-11-2025/0.0","0.0","2025-09-11","54.0","54.0","13*9=117","Case","13.084","","360","15.0","Crestline New Jersey Inc"
"L251100031","","A16334","QINGQUAN Grape Drink | 清泉 葡萄植物饮料 24btls*500ml","饮料","植物饮料","清泉","11-14-2025/0.0","0.0","2025-11-14","54.0","54.0","13*9=117","Case","13.084","","360","15.0","Crestline New Jersey Inc"
"L270600032","","A71357","QINGQUAN Lemon Drink | 清泉 柠檬植物饮料 20btls*1500ml","饮料","植物饮料","清泉","06-16-2027/0.0","28.0","2027-06-16","56.0","56.0","6*11=66","Case","17.991","","360","20.0","Crestline New Jersey Inc"
"L270300033","","A71357","QINGQUAN Lemon Drink | 清泉 柠檬植物饮料 20btls*1500ml","饮料","植物饮料","清泉","03-16-2027/0.0","28.0","2027-03-16","56.0","56.0","6*11=66","Case","17.991","","360","20.0","Crestline New Jersey Inc"
"L260800034","","A71357","QINGQUAN Lemon Drink | 清泉 柠檬植物饮料 20btls*1500ml","饮料","植物饮料","清泉","08-04-2026/0.0","0.0","2026-08-04","56.0","56.0","6*11=66","Case","17.991","","360","20.0","Crestline New Jersey Inc"
"L270100035","","A02117","QINGQUAN Matcha Drink | 清泉 抹茶植物饮料 24btls*500ml","饮料","植物饮料","清泉","01-14-2027/0.0","24.0","2027-01-14","24.0","32.0","11*10=110","Case","13.754","","360","16.0","Crestline New Jersey Inc"
"2025-11-29","","A02117","QINGQUAN Matcha Drink | 清泉 抹茶植物饮料 24btls*500ml","饮料","植物饮料","清泉","11-29-2025/0.0","0.0","2025-11-29","24.0","32.0","11*10=110","Case","13.754","","360","16.0","Crestline New Jersey Inc"
"2025-09-22","","A02117","QINGQUAN Matcha Drink | 清泉 抹茶植物饮料 24btls*500ml","饮料","植物饮料","清泉","09-22-2025/0.0","0.0","2025-09-22","24.0","32.0","11*10=110","Case","13.754","","360","16.0","Crestline New Jersey Inc"
"L270200038","","A26234","QINGQUAN Milk Drink | 清泉 牛奶植物饮料 24btls*1500ml","饮料","植物饮料","清泉","02-09-2027/0.0","108.0","2027-02-09","108.0","108.0","9*6=54","Case","22.765","","360","30.5","Crestline New Jersey Inc"
"L260700039","","A26234","QINGQUAN Milk Drink | 清泉 牛奶植物饮料 24btls*1500ml","饮料","植物饮料","清泉","07-04-2026/0.0","0.0","2026-07-04","108.0","108.0","9*6=54","Case","22.765","","360","30.5","Crestline New Jersey Inc"
"L250900040","","A26234","QINGQUAN Milk Drink | 清泉 牛奶植物饮料 24btls*1500ml","饮料","植物饮料","清泉","09-24-2025/0.0","0.0","2025-09-24","108.0","108.0","9*6=54","Case","22.765","","360","30.5","Crestline New Jersey Inc"
"L270800041","","A56386","QINGQUAN Coconut Drink | 清泉 椰子植物饮料 24btls*1500ml","饮料","植物饮料","清泉","08-22-2027/0.0","9.0","2027-08-22","9.0","9.0","17*5=85","Case","21.431","","360","27.5","Crestline New Jersey Inc"
"L270500042","","FE53175","YUANCHUAN Red Bean Frozen Dessert | 源川 红豆冰淇淋 8boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","源川","05-28-2027/0.0","129.0","2027-05-28","129.0","129.0","","Case","35.688","","540","50.5","Crestline New Jersey Inc"
"L260200043","","FE53175","YUANCHUAN Red Bean Frozen Dessert | 源川 红豆冰淇淋 8boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","源川","02-18-2026/0.0","0.0","2026-02-18","129.0","129.0","","Case","35.688","","540","50.5","Crestline New Jersey Inc"
"L271100044","","FE11202","YUANCHUAN Taro Frozen Dessert | 源川 芋头冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","源川","11-04-2027/0.0","2.0","2027-11-04","6.0","6.0","11*6=66","Case","42.328","","540","53.5","Crestline New Jersey Inc"
"L271000045","","FE11202","YUANCHUAN Taro Frozen Dessert | 源川 芋头冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","源川","10-15-2027/0.0","2.0","2027-10-15","6.0","6.0","11*6=66","Case","42.328","","540","53.5","Crestline New Jersey Inc"
"L261200046","","FE11202","YUANCHUAN Taro Frozen Dessert | 源川 芋头冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","源川","12-06-2026/0.0","2.0","2026-12-06","6.0","6.0","11*6=66","Case","42.328","","540","53.5","Crestline New Jersey Inc"
"2025-08-31","","FE11202","YUANCHUAN Taro Frozen Dessert | 源川 芋头冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","源川","08-31-2025/0.0","0.0","2025-08-31","6.0","6.0","11*6=66","Case","42.328","","540","999.0","Crestline New Jersey Inc"
"L280100048","","FE82283","YUANCHUAN Coconut Frozen Dessert | 源川 椰子冰淇淋 24boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","01-29-2028/0.0","0.0","2028-01-29","0.0","91.0","6*11=66","Case","57.841","","540","70.5","Crestline New Jersey Inc"
"L261200049","","FE82283","YUANCHUAN Coconut Frozen Dessert | 源川 椰子冰淇淋 24boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","12-26-2026/0.0","0.0","2026-12-26","0.0","91.0","6*11=66","Case","57.841","","540","70.5","Crestline New Jersey Inc"
"L270600050","","FE82283","YUANCHUAN Coconut Frozen Dessert | 源川 椰子冰淇淋 24boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","06-15-2027/0.0","0.0","2027-06-15","0.0","91.0","6*11=66","Case","57.841","","540","70.5","Crestline New Jersey Inc"
"2025-12-03","","FE82283","YUANCHUAN Coconut Frozen Dessert | 源川 椰子冰淇淋 24boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","12-03-2025/0.0","0.0","2025-12-03","0.0","91.0","6*11=66","Case","57.841","","540","70.5","Crestline New Jersey Inc"
"L260200052","","FE82283","YUANCHUAN Coconut Frozen Dessert | 源川 椰子冰淇淋 24boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","02-08-2026/0.0","0.0","2026-02-08","0.0","91.0","6*11=66","Case","57.841","","540","70.5","Crestline New Jersey Inc"
"L270300053","","FE29343","YUANCHUAN Milk Frozen Dessert | 源川 牛奶冰淇淋 6boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","源川","03-05-2027/0.0","16.0","2027-03-05","31.0","31.0","17*7=119","Case","43.273","","540","62.5","Crestline New Jersey Inc"
