"Order Line/Order Reference","Order Line/Product","Order Line/Unit Price","Order Line/Quantity","Order Line/Received Qty","Order Line/Subtotal","Order Line/Confirmed Date","Order Line/Expected Arrival Time","Order Line/Partner","Order Line/Company","Order Line/Created By","Order Line/Status","Order Line/Order Reference/Actual Ship Date"
"CAP26098395","[VEL60206] Chengfeng Original Electronics 60ml","5.81","19.0","0.0","110.39","2026-09-23 19:17:00","2026-09-28 19:17:00","Blue Bay Harvest Imports Inc.","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098395","[G71202] CHUANRUI Green Tea MSG&Seasoning Powder 12bags*70g","19.68","1.0","0.0","","2026-09-23 19:17:00","2026-09-28 19:17:00","Blue Bay Harvest Imports Inc.","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098395","[G45227] CHUANRUI Strawberry Sauces 10bags*70g","50.13","1.0","0.0","50.13","2026-09-23 19:17:00","2026-09-28 19:17:00","Blue Bay Harvest Imports Inc.","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098395","[G96120] CHUANRUI Strawberry Dipping Sauce 6bags*500g","14.57","2.0","0.0","29.14","2026-09-23 19:17:00","2026-09-28 19:17:00","Blue Bay Harvest Imports Inc.","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"TXP26099201","[G50228] XIANGYOU Red Bean Cooking Wine 20bags*100g","38.17","1.0","0.0","38.17","2026-09-23 17:43:59","2026-11-05 17:43:59","Hengshan Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"NWP26098323","[B23232] Fuxi Green Tea Puffed Snacks 8bags*70g","37.62","37.0","0.0","1391.94","2026-09-23 14:42:04","2026-11-10 14:42:04","Fengcheng Foods USA Inc","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098323","[B19354] MAIWAN Beef Seasoned Vegetarian Snacks 20bags*400g","31.07","3.0","0.0","93.21","2026-09-23 14:42:04","2026-11-10 14:42:04","Fengcheng Foods USA Inc","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098323","[E55188] Maijia Red Bean Cumin 8bags*1000g","16.63","5.0","0.0","83.15","2026-09-23 14:42:04","2026-11-10 14:42:04","Fengcheng Foods USA Inc","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"ILP26098433","[A29259] Baoan Beef Milk Drinks 15btls*280ml","13.56","1.0","0.0","13.56","2026-09-23 13:41:17","2026-11-28 13:41:17","Jiangbei Foods USA Inc","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098433","[G53180] Zhouyou Taro Sauces 10bags*400g","14.93","1.0","0.0","14.93","2026-09-23 13:41:17","2026-11-28 13:41:17","Jiangbei Foods USA Inc","Crestline Chicago Inc","Grace Zhao","purchase",""
"CAP26098137 (OL1528-4)","[VHB80201] Youle Honey Bath & Body Care 250ml","8.79","17.0","0.0","149.43","2026-09-23 12:10:59","2026-09-28 12:10:59","Summit Orient Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098137 (OL1528-4)","[FE60393] YUANCHUAN Brown Sugar Ice Cream 6boxes*4bags*88ml","34.17","16.0","0.0","546.72","2026-09-23 12:10:59","2026-09-28 12:10:59","Summit Orient Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098137 (OL1528-4)","[A51343] FENGFU Spicy Probiotic Drinks 12btls*330ml","12.51","183.0","0.0","2289.33","2026-09-23 12:10:59","2026-09-28 12:10:59","Summit Orient Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098137 (OL1528-4)","[A89374] FENGFU Taro Beverages 20btls*1500ml","13.47","2.0","0.0","","2026-09-23 12:10:59","2026-09-28 12:10:59","Summit Orient Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098137 (OL1528-4)","[FE82283] YUANCHUAN Coconut Ice Cream 24boxes*3bags*90ml","53.5","5.0","0.0","267.5","2026-09-23 12:10:59","2026-09-28 12:10:59","Summit Orient Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"ILP26098978","[G73228] ZHUYUN Strawberry Jam 8bags*150g","21.64","10.0","0.0","216.4","2026-09-23 09:08:34","2026-11-21 09:08:34","Lanting Orient Trading Co., LTD","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098978","[G71266] ZHUYUN Pineapple Syrup 8bags*70g","25.2","1.0","0.0","","2026-09-23 09:08:34","2026-11-21 09:08:34","Lanting Orient Trading Co., LTD","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098978","[L28254] Xianyue Peach Jujube 8bags*100g","64.83","3.0","0.0","194.49","2026-09-23 09:08:34","2026-11-21 09:08:34","Lanting Orient Trading Co., LTD","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098978","[F70262] Xianyue Corn Vegetarian Meat 20bags*1000g","52.46","3.0","0.0","157.38","2026-09-23 09:08:34","2026-11-21 09:08:34","Lanting Orient Trading Co., LTD","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098978","[E72299] ZHUYUN Beef White Sugar 24bags*100g","16.03","1.0","0.0","16.03","2026-09-23 09:08:34","2026-11-21 09:08:34","Lanting Orient Trading Co., LTD","Crestline Chicago Inc","Jason Qian","purchase",""
"NJP26098037","[A67153] QINGQUAN Lychee Jasmine Plant-Based Drinks 15btls*330ml","25.54","97.0","0.0","2477.38","2026-09-22 18:30:55","2026-11-12 18:30:55","Qinglan Silk Road Trading Co., LTD","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NJP26098037","[A60317] QINGQUAN Milk Ready-to-Drink Tea 20btls*280ml","19.95","9.0","0.0","179.55","2026-09-22 18:30:55","2026-11-12 18:30:55","Qinglan Silk Road Trading Co., LTD","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"CAP26099019","[E52272] ANZHU Jujube Chili Seasonings 10bags*200g","25.54","60.0","0.0","1532.4","2026-09-22 18:16:59","2026-09-27 18:16:59","Evergreen Crown Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26099019","[A84146] Songzhu Mango Milk 20btls*480ml","11.58","1.0","0.0","11.58","2026-09-22 18:16:59","2026-09-27 18:16:59","Evergreen Crown Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26099019","[VHB30230] Maibao Beef Hair 6bags*400g","8.69","1.0","0.0","8.69","2026-09-22 18:16:59","2026-09-27 18:16:59","Evergreen Crown Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26099019","[A88124] Songzhu Lemon Juice 20btls*500ml","12.78","1.0","0.0","12.78","2026-09-22 18:16:59","2026-09-27 18:16:59","Evergreen Crown Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"TXP26098141","[FE29343] YUANCHUAN Milk Ice Cream 6boxes*4bags*90ml","39.39","1.0","0.0","39.39","2026-09-22 17:51:39","2026-09-27 17:51:39","Summit Orient Imports Inc.","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26098141","[FE04114] YUANCHUAN Melon Ice Cream 8boxes*4bags*90ml","38.72","1.0","0.0","38.72","2026-09-22 17:51:39","2026-09-27 17:51:39","Summit Orient Imports Inc.","Crestline Houston Inc","JIE FAN","purchase","2026-09-23"
"TXP26099014 (OL2578-1)","[VPC79142] Maibao Seafood Eye Care 400ml","4.91","-3.0","0.0","-14.73","2026-09-22 14:53:38","2026-09-27 14:53:38","Evergreen Crown Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26099014 (OL2578-1)","[G69350] ANZHU Original Oyster Sauce 10bags*100g","32.45","1.0","0.0","32.45","2026-09-22 14:53:38","2026-09-27 14:53:38","Evergreen Crown Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26099014 (OL2578-1)","[E52272] ANZHU Jujube Chili Seasonings 10bags*200g","23.37","2.0","0.0","46.74","2026-09-22 14:53:38","2026-09-27 14:53:38","Evergreen Crown Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26099014 (OL2578-1)","[A52240] Songzhu Grape Sparkling Water 20btls*330ml","16.4","1.0","0.0","16.4","2026-09-22 14:53:38","2026-09-27 14:53:38","Evergreen Crown Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26098184","[FE60355] Chenle Osmanthus Ice Cream 8boxes*4bags*88ml","29.67","473.0","0.0","14033.91","2026-09-22 13:51:43","2026-11-05 13:51:43","Donghai Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26098184","[FE12333] Chenle Taro Ice Cream 24boxes*4bags*72ml","46.66","21.0","0.0","979.86","2026-09-22 13:51:43","2026-11-05 13:51:43","Donghai Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"NWP26098693","[VHS82354] YUEMEI Red Bean Health & Nutrition Drinks 400ml","4.59","16.0","0.0","73.44","2026-09-22 13:03:18","2026-11-22 13:03:18","Baiyun Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098693","[E27158] Chuanlan Taro Scallion 12bags*70g","13.43","21.0","0.0","282.03","2026-09-22 13:03:18","2026-11-22 13:03:18","Baiyun Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"ILP26098101","[A80201] FENGFU Vanilla Probiotic Drinks 15btls*330ml","13.7","1.0","0.0","13.7","2026-09-22 12:21:04","2026-09-27 12:21:04","Summit Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098101","[FE14300] YUANCHUAN Matcha Ice Cream 6boxes*3bags*90ml","50.01","103.0","0.0","5151.03","2026-09-22 12:21:04","2026-09-27 12:21:04","Summit Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"NJP26098897","[G42203] Shunling Pickled Vegetable MSG&Seasoning Powder 20bags*70g","16.99","1.0","0.0","16.99","2026-09-22 11:26:27","2026-11-11 11:26:27","Xinglin Crown Trading Co., LTD","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NJP26098897","[A37297] Chenmei BBQ Coconut Water 20btls*480ml","13.36","1.0","0.0","13.36","2026-09-22 11:26:27","2026-11-11 11:26:27","Xinglin Crown Trading Co., LTD","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"CAP26098833","[A38212] CHENGRUN Milk Plant-Based Drinks 24btls*330ml","11.45","58.0","0.0","664.1","2026-09-22 11:14:23","2026-11-23 11:14:23","Nanxi Green Leaf Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098833","[A29340] FENGFENG Matcha Plant-Based Drinks 12btls*480ml","9.84","1.0","0.0","9.84","2026-09-22 11:14:23","2026-11-23 11:14:23","Nanxi Green Leaf Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098833","[A16378] FENGFENG Green Tea Sparkling Water 12btls*500ml","11.08","160.0","0.0","1772.8","2026-09-22 11:14:23","2026-11-23 11:14:23","Nanxi Green Leaf Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"TXP26098758","[CJ44363] YOUFENG Peach BBQ Sauce 24bags*200g","35.35","1.0","0.0","35.35","2026-09-22 10:48:21","2026-10-02 10:48:21","Morning Harvest Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26098758","[G44190] YOUFENG Coconut Oyster Sauce 10bags*500g","34.69","1.0","0.0","34.69","2026-09-22 10:48:21","2026-10-02 10:48:21","Morning Harvest Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"TXP26098758","[D23226] JINSONG Peach Rice Noodles 12bags*200g","15.74","2.0","0.0","31.48","2026-09-22 10:48:21","2026-10-02 10:48:21","Morning Harvest Imports Inc.","Crestline Houston Inc","Harvey Sun","purchase",""
"NJP26098143 (OL3871-5)","[VBB96171] Chenmai Green Tea Baby Products 250ml","19.51","73.0","0.0","1424.23","2026-09-22 09:20:04","2026-11-04 09:20:04","Taoyuan Harvest Trading Co., LTD","Crestline New Jersey Inc","Nora Sun","purchase",""
"NJP26098143 (OL3871-5)","[VHK47112] Chenmai Jujube Home Cleaning 200ml","3.41","29.0","0.0","98.89","2026-09-22 09:20:04","2026-11-04 09:20:04","Taoyuan Harvest Trading Co., LTD","Crestline New Jersey Inc","Nora Sun","purchase",""
"NJP26098143 (OL3871-5)","[H48288] Hechen Tomato Pickled Products 24bags*100g","41.34","1.0","0.0","41.34","2026-09-22 09:20:04","2026-11-04 09:20:04","Taoyuan Harvest Trading Co., LTD","Crestline New Jersey Inc","Nora Sun","purchase",""
"NJP26098143 (OL3871-5)","[H41239] JINAN Lemon Century Eggs 10bags*200g","37.88","271.0","0.0","10265.48","2026-09-22 09:20:04","2026-11-04 09:20:04","Taoyuan Harvest Trading Co., LTD","Crestline New Jersey Inc","Nora Sun","purchase",""
"NJP26098143 (OL3871-5)","[E69188] Lusong Melon White Sugar 10bags*1000g","36.64","1.0","0.0","36.64","2026-09-22 09:20:04","2026-11-04 09:20:04","Taoyuan Harvest Trading Co., LTD","Crestline New Jersey Inc","Nora Sun","purchase",""
"CAP26098157","[FE35318] Chenle Red Bean Ice Cream 8boxes*3bags*72ml","39.42","11.0","0.0","433.62","2026-09-22 08:52:40","2026-11-05 08:52:40","Donghai Foods USA Inc","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098157","[FE72394] Chenle Melon Ice Cream 6boxes*3bags*72ml","32.77","76.0","0.0","2490.52","2026-09-22 08:52:40","2026-11-05 08:52:40","Donghai Foods USA Inc","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098157","[FE12333] Chenle Taro Ice Cream 24boxes*4bags*72ml","47.95","77.0","0.0","3692.15","2026-09-22 08:52:40","2026-11-05 08:52:40","Donghai Foods USA Inc","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"NWP26098114","[C79258] FENGFU Lemon Coffee 24btls*500ml","19.44","1.0","0.0","19.44","2026-09-22 08:04:20","2026-09-27 08:04:20","Summit Orient Imports Inc.","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098114","[FE82283] YUANCHUAN Coconut Ice Cream 24boxes*3bags*90ml","53.19","1.0","0.0","53.19","2026-09-22 08:04:20","2026-09-27 08:04:20","Summit Orient Imports Inc.","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098114","[FE18257] YUANCHUAN Peach Ice Cream 24boxes*4bags*72ml","36.96","4.0","0.0","147.84","2026-09-22 08:04:20","2026-09-27 08:04:20","Summit Orient Imports Inc.","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098114","[A51343] FENGFU Spicy Probiotic Drinks 12btls*330ml","13.01","54.0","0.0","702.54","2026-09-22 08:04:20","2026-09-27 08:04:20","Summit Orient Imports Inc.","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"NWP26098114","[A80201] FENGFU Vanilla Probiotic Drinks 15btls*330ml","13.51","1.0","0.0","13.51","2026-09-22 08:04:20","2026-09-27 08:04:20","Summit Orient Imports Inc.","Crestline Northwest Inc","Peng Xie (Jason)","purchase",""
"TXP26099109","[VCA68251] Ruizhou Vanilla Clothes & Apparel 8bags*500g","12.26","1.0","0.0","12.26","2026-09-21 19:26:09","2026-11-28 19:26:09","Lanting Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26099109","[R15138] Maiqing Pineapple Vegetables 12bags*100g","14.68","1.0","0.0","14.68","2026-09-21 19:26:09","2026-11-28 19:26:09","Lanting Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26099109","[VFM12196] Tianyue Chocolate Derma Care 100ml","9.3","10.0","0.0","93.0","2026-09-21 19:26:09","2026-11-28 19:26:09","Lanting Foods USA Inc","Crestline Houston Inc","JIE FAN","purchase",""
"ILP26098882","[VPC79142] Maibao Seafood Eye Care 400ml","5.43","38.0","0.0","206.34","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098882","[VHS64175] Maibao Jujube Health & Nutrition Drinks 200ml","8.14","21.0","0.0","170.94","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098882","[G65293] ANZHU Chocolate Chili Sauce 24bags*500g","40.67","6.0","0.0","244.02","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098882","[VHK30154] Maibao Melon Home Cleaning 250ml","12.0","-1.0","0.0","-12.0","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098882","[G44345] ANZHU Strawberry Dipping Sauce 24bags*70g","13.14","1.0","0.0","13.14","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"ILP26098882","[G69350] ANZHU Original Oyster Sauce 10bags*100g","30.69","10.0","0.0","306.9","2026-09-21 18:32:42","2026-09-26 18:32:42","Evergreen Crown Imports Inc.","Crestline Chicago Inc","Jason Qian","purchase",""
"CAP26099083","[VCA17381] Yuantian Corn Clothes & Apparel 10bags*150g","15.6","1.0","0.0","15.6","2026-09-21 12:41:12","2026-11-10 12:41:12","Nanxi Bridge Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26099083","[VCA83276] Yuantian Pickled Vegetable Fashion Jewelry 400ml","6.74","164.0","0.0","1105.36","2026-09-21 12:41:12","2026-11-10 12:41:12","Nanxi Bridge Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26099083","[VBB85169] Yuantian Corn Mother & Bady 24bags*1000g","12.06","15.0","0.0","180.9","2026-09-21 12:41:12","2026-11-10 12:41:12","Nanxi Bridge Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"ILP26098161 (OL2134-4)","[L29176] Hechen Chocolate Jujube 20bags*150g","74.73","-5.0","0.0","-373.65","2026-09-21 11:35:06","2026-11-03 11:35:06","Taoyuan Harvest Trading Co., LTD","Crestline Chicago Inc","Grace Zhao","purchase",""
"CAP26098531","[A40326] XIANYOU Melon Milk 24btls*500ml","22.92","29.0","0.0","664.68","2026-09-21 11:06:38","2026-11-17 11:06:38","Qinglan Foods USA Inc","Crestline Pacific Inc","Lina Hua","purchase",""
